"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","expression"
"ENSG00000108106",1330.88551806156,-1.095424408236,0.184088401933178,-5.95053461669807,2.67268035144569e-09,1.35683072508393e-06,"UBE2S","DOWN"
"ENSG00000167772",852.219911186323,2.51583166461735,0.407105725676564,6.17979926574681,6.41831577682794e-10,4.88754746405448e-07,"ANGPTL4","UP"
"ENSG00000167670",330.981927286075,-1.29830288355672,0.24123671348146,-5.38186275554819,7.37189634622243e-08,1.4034247669121e-05,"CHAF1A","DOWN"
"ENSG00000176619",2379.1473452162,-1.02254975859789,0.274759446358517,-3.72161820876441,0.000197950161513739,0.0057976556920274,"LMNB2","DOWN"
"ENSG00000178531",166.217738187559,1.01378993496079,0.2559085638823,3.96153188303249,7.44704354705453e-05,0.00298469666372738,"CTXN1","UP"
"ENSG00000105011",188.241737975453,-1.94201601807677,0.469465882801981,-4.13664994458374,3.52413099872861e-05,0.00157860338560696,"ASF1B","DOWN"
"ENSG00000254503",162.825437031226,-1.38759569486922,0.223411902250846,-6.21093003948927,5.26719214825317e-10,4.88754746405448e-07,"HMGB3P29","DOWN"
"ENSG00000075702",141.860366396894,-1.8479100226996,0.479362708752793,-3.85493070061185,0.000115762415803895,0.00410014323882169,"WDR62","DOWN"
"ENSG00000004777",102.212326337146,-1.20323964159048,0.321918861176789,-3.73771091632217,0.00018570328923653,0.00570930880505429,"ARHGAP33","DOWN"
"ENSG00000062822",208.517293875846,-1.3418794705909,0.250672007751947,-5.35312850694825,8.64464096548899e-08,1.4460889771743e-05,"POLD1","DOWN"
"ENSG00000161681",114.148372607862,1.14050469914377,0.260281043455142,4.38182006650949,1.1769198961149e-05,0.000640160357779641,"SHANK1","UP"
"ENSG00000072071",352.49801359735,1.09131150421514,0.211614972488443,5.15706186278825,2.50854942941942e-07,2.93886213923522e-05,"ADGRL1","UP"
"ENSG00000130513",580.109979509506,2.21414782073972,0.728177396223897,3.04067090275201,0.00236051684408792,0.0413226109602978,"GDF15","UP"
"ENSG00000161888",148.515060763142,-2.03382842309851,0.402042656401376,-5.05873789936372,4.22040485039358e-07,4.59119756224959e-05,"SPC24","DOWN"
"ENSG00000276043",676.050022241371,-1.943630325944,0.331213186162855,-5.86821541877964,4.40510686385468e-09,1.67724443841267e-06,"UHRF1","DOWN"
"ENSG00000126453",114.166240384864,-1.06797300827286,0.259148711684607,-4.12108168059359,3.77097688482941e-05,0.00164091365588434,"BCL2L12","DOWN"
"ENSG00000105486",268.431465890067,-1.3742065921607,0.335209970114852,-4.0995397353183,4.13972593764215e-05,0.00175133405639694,"LIG1","DOWN"
"ENSG00000130816",1323.09870412913,-1.31415460557,0.231052532878172,-5.68768751071395,1.28771176848471e-08,3.26864170567035e-06,"DNMT1","DOWN"
"ENSG00000087086",11401.7498051333,1.18049287074936,0.234906479110165,5.02537382204662,5.02452835329592e-07,5.10157112137979e-05,"FTL","UP"
"ENSG00000204941",133.379735130928,2.13609264482897,0.412868661859356,5.17378246924596,2.29401885943568e-07,2.91149226910045e-05,"PSG5","UP"
